frame,side weight,sensitivity,threshold,buf size,gamma,goal
953,8.0,3.0,5.0,16,0.95,0
1598,8.0,2.0,7.0,12,0.96,1
1600,6.0,2.0,6.0,12,0.95,1
949,6.0,2.5,6.0,12,0.99,0
943,6.0,2.5,6.0,12,0.97,0
1596,7.0,2.0,7.0,12,0.95,1
943,9.0,2.5,6.0,12,0.95,0
1604,8.0,2.0,7.0,16,0.96,1
948,8.0,2.5,6.0,12,0.98,0
1382,8.0,2.0,7.0,16,0.95,0
1374,9.0,2.0,7.0,12,0.96,0
1602,7.0,2.0,6.0,16,0.96,1
1372,9.0,2.0,7.0,12,0.97,0
1599,8.0,2.0,7.0,12,0.98,1
1599,7.0,2.0,7.0,12,0.98,1
1596,6.0,2.0,5.0,16,0.95,1
948,9.0,2.5,6.0,12,0.99,0
1373,10.0,2.0,7.0,12,0.98,0
1600,8.0,2.5,6.0,12,0.99,1
1602,8.0,2.0,6.0,16,0.97,1
1377,10.0,2.0,7.0,12,0.99,0
1601,8.0,2.0,7.0,12,0.99,1
1527,10.0,2.5,6.0,16,0.96,1
1597,9.0,2.0,5.0,16,0.95,1
1384,9.0,2.0,7.0,16,0.97,0
945,10.0,2.5,6.0,12,0.99,0
1473,6.0,2.5,5.0,16,0.96,1
930,6.0,2.5,5.0,16,0.95,0
1601,9.0,2.0,7.0,16,0.95,1
1605,6.0,2.0,6.0,12,0.99,1
931,9.0,2.5,5.0,16,0.95,0
1527,9.0,2.5,6.0,16,0.96,1
943,9.0,2.5,5.0,12,0.95,0
930,9.0,2.5,5.0,16,0.96,0
1599,9.0,2.0,7.0,12,0.99,1
1529,8.0,2.5,6.0,16,0.96,1
1528,6.0,2.5,6.0,16,0.97,1
1527,7.0,2.5,6.0,20,0.95,1
1601,10.0,2.0,6.0,12,0.98,1
942,8.0,2.5,5.0,12,0.95,0
1604,10.0,2.0,6.0,12,0.99,1
929,7.0,2.5,5.0,16,0.96,0
1602,9.0,2.0,5.0,16,0.96,1
930,10.0,2.5,5.0,16,0.96,0
944,8.0,2.5,5.0,12,0.96,0
1603,7.0,2.0,6.0,12,0.98,1
944,6.0,2.5,5.0,12,0.95,0
1474,8.0,2.5,6.0,20,0.95,1
1607,7.0,2.5,6.0,16,0.95,1
1525,6.0,2.5,6.0,16,0.96,1
1487,10.0,2.5,5.0,16,0.97,1
1600,10.0,2.0,5.0,16,0.96,1
1461,7.0,3.0,5.0,12,0.96,1
930,8.0,2.5,5.0,16,0.96,0
1464,10.0,3.0,5.0,12,0.96,1
931,7.0,2.5,5.0,16,0.97,0
1481,9.0,2.5,6.0,20,0.95,1
1606,8.0,2.5,6.0,16,0.95,1
950,9.0,3.0,5.0,16,0.95,0
1528,7.0,2.5,6.0,16,0.97,1
926,6.0,3.0,5.0,12,0.96,0
927,7.0,2.5,5.0,12,0.96,0
945,8.0,2.5,5.0,12,0.97,0
1459,8.0,3.0,5.0,12,0.96,1
1488,6.0,2.5,5.0,16,0.97,1
1606,9.0,2.5,6.0,16,0.95,1
1608,10.0,2.5,6.0,16,0.95,1
1537,9.0,2.0,6.0,32,0.95,1
927,10.0,3.0,5.0,12,0.97,0
944,9.0,2.5,5.0,12,0.96,0
1485,9.0,2.5,5.0,16,0.97,1
927,6.0,2.5,5.0,12,0.96,0
948,8.0,2.5,5.0,12,0.98,0
945,9.0,2.5,5.0,12,0.97,0
945,10.0,2.5,5.0,12,0.98,0
942,10.0,2.5,5.0,12,0.97,0
1465,8.0,2.5,5.0,12,0.99,1
931,9.0,3.0,5.0,12,0.97,0
1606,6.0,2.5,6.0,16,0.95,1
1463,6.0,2.5,5.0,12,0.98,1
1466,6.0,2.0,5.0,12,0.98,1
945,9.0,2.5,5.0,12,0.98,0
946,7.0,2.5,5.0,12,0.99,0
1463,6.0,3.0,5.0,12,0.98,1
948,9.0,2.5,5.0,12,0.99,0
945,10.0,2.5,5.0,12,0.99,0
1467,8.0,3.0,5.0,12,0.98,1
934,8.0,2.5,5.0,16,0.97,0
941,8.0,2.0,5.0,32,0.95,0
929,9.0,3.0,5.0,12,0.98,0
1466,10.0,3.0,5.0,12,0.98,1
1470,6.0,3.0,5.0,12,0.99,1
1485,8.0,2.5,5.0,16,0.98,1
929,7.0,3.0,5.0,12,0.98,0
946,7.0,2.5,5.0,12,0.98,0
929,10.0,2.5,5.0,16,0.95,0
952,8.0,3.0,5.0,12,0.99,0
966,6.0,1.5,6.0,8,0.97,0
954,6.0,3.0,5.0,16,0.96,0
970,6.0,1.5,6.0,8,0.95,0
933,7.0,3.0,5.0,16,0.96,0
966,6.0,1.5,6.0,8,0.96,0
1624,8.0,1.5,6.0,8,0.95,1
1509,10.0,2.0,6.0,28,0.95,1
967,7.0,1.5,6.0,8,0.97,0
1624,7.0,1.5,6.0,8,0.96,1
966,6.0,1.5,6.0,8,0.99,0
1508,8.0,2.0,6.0,28,0.95,1
966,9.0,1.5,6.0,8,0.99,0
968,7.0,1.5,6.0,8,0.99,0
966,7.0,1.5,6.0,8,0.98,0
1627,6.0,1.5,7.0,12,0.95,1
968,8.0,1.5,6.0,8,0.96,0
1626,6.0,1.5,6.0,12,0.95,1
1624,9.0,1.5,6.0,8,0.95,1
967,10.0,1.5,6.0,8,0.99,0
966,8.0,1.5,6.0,8,0.98,0
968,8.0,1.5,6.0,8,0.97,0
966,8.0,1.5,6.0,8,0.99,0
937,10.0,2.0,5.0,20,0.97,0
937,9.0,2.0,5.0,20,0.97,0
966,9.0,1.5,6.0,8,0.98,0
966,10.0,1.5,6.0,8,0.98,0
967,10.0,1.5,6.0,8,0.95,0
968,9.0,1.5,6.0,8,0.96,0
966,10.0,1.5,6.0,8,0.97,0
1568,9.0,2.0,6.0,28,0.96,1
966,9.0,1.5,6.0,8,0.97,0
1474,10.0,2.5,5.0,16,0.99,1
1483,7.0,2.5,5.0,16,0.95,1
1629,9.0,1.5,7.0,12,0.96,1
1625,10.0,1.5,6.0,8,0.96,1
1627,6.0,1.5,7.0,12,0.96,1
1627,7.0,1.5,6.0,12,0.97,1
1627,8.0,1.5,6.0,12,0.95,1
1625,10.0,1.5,5.0,8,0.96,1
1627,9.0,1.5,6.0,12,0.95,1
967,10.0,1.5,5.0,8,0.99,0
1627,10.0,1.5,6.0,12,0.95,1
1626,7.0,1.5,7.0,12,0.95,1
1500,10.0,2.0,6.0,24,0.96,1
974,8.0,1.5,6.0,28,0.96,0
1506,7.0,2.0,6.0,28,0.95,1
1500,6.0,2.0,6.0,24,0.96,1
1626,10.0,1.5,5.0,12,0.95,1
1620,10.0,1.5,7.0,32,0.96,1
1588,6.0,2.0,6.0,28,0.96,1
1546,8.0,2.0,6.0,24,0.97,1
1627,9.0,1.5,5.0,12,0.97,1
1499,8.0,2.0,6.0,24,0.96,1
1600,6.0,2.5,7.0,24,0.95,1
978,7.0,1.5,6.0,24,0.98,0
1502,9.0,2.0,6.0,24,0.96,1
979,6.0,1.5,7.0,24,0.98,0
1417,9.0,2.0,7.0,20,0.99,0
976,8.0,1.5,7.0,24,0.98,0
1414,8.0,2.0,7.0,20,0.99,0
1427,10.0,1.5,6.0,24,0.99,0
976,9.0,1.5,7.0,24,0.98,0
942,7.0,2.5,5.0,24,0.95,0
976,10.0,1.5,7.0,24,0.98,0
953,8.0,2.5,5.0,24,0.95,0
1324,7.0,2.0,6.0,20,0.99,0
1323,10.0,2.0,6.0,20,0.99,0
1323,9.0,2.0,6.0,20,0.99,0
