frame,side weight,sensitivity,threshold,buf size,gamma,goal
515,2.0,0.5,5.0,8,0.95,0
515,2.0,0.5,5.0,8,0.96,0
514,2.0,0.5,5.0,8,0.97,0
514,2.0,0.5,5.0,8,0.98,0
516,2.0,0.5,5.0,8,0.99,0
192,2.0,0.5,5.0,12,0.95,0
192,2.0,0.5,5.0,12,0.96,0
192,2.0,0.5,5.0,12,0.97,0
192,2.0,0.5,5.0,12,0.98,0
192,2.0,0.5,5.0,12,0.99,0
192,2.0,0.5,5.0,16,0.95,0
192,2.0,0.5,5.0,16,0.96,0
192,2.0,0.5,5.0,16,0.97,0
192,2.0,0.5,5.0,16,0.98,0
192,2.0,0.5,5.0,16,0.99,0
192,2.0,0.5,5.0,20,0.95,0
192,2.0,0.5,5.0,20,0.96,0
192,2.0,0.5,5.0,20,0.97,0
192,2.0,0.5,5.0,20,0.98,0
192,2.0,0.5,5.0,20,0.99,0
192,2.0,0.5,5.0,24,0.95,0
192,2.0,0.5,5.0,24,0.96,0
192,2.0,0.5,5.0,24,0.97,0
192,2.0,0.5,5.0,24,0.98,0
192,2.0,0.5,5.0,24,0.99,0
192,2.0,0.5,5.0,28,0.95,0
192,2.0,0.5,5.0,28,0.96,0
192,2.0,0.5,5.0,28,0.97,0
192,2.0,0.5,5.0,28,0.98,0
192,2.0,0.5,5.0,28,0.99,0
192,2.0,0.5,5.0,32,0.95,0
192,2.0,0.5,5.0,32,0.96,0
192,2.0,0.5,5.0,32,0.97,0
192,2.0,0.5,5.0,32,0.98,0
193,2.0,0.5,5.0,32,0.99,0
498,2.0,0.5,6.0,8,0.95,0
498,2.0,0.5,6.0,8,0.96,0
498,2.0,0.5,6.0,8,0.97,0
497,2.0,0.5,6.0,8,0.98,0
496,2.0,0.5,6.0,8,0.99,0
496,2.0,0.5,6.0,12,0.95,0
496,2.0,0.5,6.0,12,0.96,0
497,2.0,0.5,6.0,12,0.97,0
497,2.0,0.5,6.0,12,0.98,0
496,2.0,0.5,6.0,12,0.99,0
492,2.0,0.5,6.0,16,0.95,0
494,2.0,0.5,6.0,16,0.96,0
497,2.0,0.5,6.0,16,0.97,0
497,2.0,0.5,6.0,16,0.98,0
502,2.0,0.5,6.0,16,0.99,0
496,2.0,0.5,6.0,20,0.95,0
222,2.0,0.5,6.0,20,0.96,0
221,2.0,0.5,6.0,20,0.97,0
219,2.0,0.5,6.0,20,0.98,0
218,2.0,0.5,6.0,20,0.99,0
224,2.0,0.5,6.0,24,0.95,0
219,2.0,0.5,6.0,24,0.96,0
218,2.0,0.5,6.0,24,0.97,0
217,2.0,0.5,6.0,24,0.98,0
217,2.0,0.5,6.0,24,0.99,0
221,2.0,0.5,6.0,28,0.95,0
221,2.0,0.5,6.0,28,0.96,0
217,2.0,0.5,6.0,28,0.97,0
217,2.0,0.5,6.0,28,0.98,0
198,2.0,0.5,6.0,28,0.99,0
221,2.0,0.5,6.0,32,0.95,0
219,2.0,0.5,6.0,32,0.96,0
218,2.0,0.5,6.0,32,0.97,0
197,2.0,0.5,6.0,32,0.98,0
195,2.0,0.5,6.0,32,0.99,0
198,2.0,0.5,7.0,8,0.95,0
198,2.0,0.5,7.0,8,0.96,0
198,2.0,0.5,7.0,8,0.97,0
198,2.0,0.5,7.0,8,0.98,0
211,2.0,0.5,7.0,8,0.99,0
475,2.0,0.5,7.0,12,0.95,0
473,2.0,0.5,7.0,12,0.96,0
475,2.0,0.5,7.0,12,0.97,0
473,2.0,0.5,7.0,12,0.98,0
476,2.0,0.5,7.0,12,0.99,0
470,2.0,0.5,7.0,16,0.95,0
471,2.0,0.5,7.0,16,0.96,0
471,2.0,0.5,7.0,16,0.97,0
472,2.0,0.5,7.0,16,0.98,0
472,2.0,0.5,7.0,16,0.99,0
468,2.0,0.5,7.0,20,0.95,0
470,2.0,0.5,7.0,20,0.96,0
469,2.0,0.5,7.0,20,0.97,0
473,2.0,0.5,7.0,20,0.98,0
476,2.0,0.5,7.0,20,0.99,0
472,2.0,0.5,7.0,24,0.95,0
472,2.0,0.5,7.0,24,0.96,0
475,2.0,0.5,7.0,24,0.97,0
472,2.0,0.5,7.0,24,0.98,0
222,2.0,0.5,7.0,24,0.99,0
471,2.0,0.5,7.0,28,0.95,0
473,2.0,0.5,7.0,28,0.96,0
473,2.0,0.5,7.0,28,0.97,0
226,2.0,0.5,7.0,28,0.98,0
219,2.0,0.5,7.0,28,0.99,0
470,2.0,0.5,7.0,32,0.95,0
478,2.0,0.5,7.0,32,0.96,0
226,2.0,0.5,7.0,32,0.97,0
220,2.0,0.5,7.0,32,0.98,0
201,2.0,0.5,7.0,32,0.99,0
519,3.0,0.5,5.0,8,0.95,0
520,3.0,0.5,5.0,8,0.96,0
523,3.0,0.5,5.0,8,0.97,0
523,3.0,0.5,5.0,8,0.98,0
523,3.0,0.5,5.0,8,0.99,0
192,3.0,0.5,5.0,12,0.95,0
192,3.0,0.5,5.0,12,0.96,0
192,3.0,0.5,5.0,12,0.97,0
192,3.0,0.5,5.0,12,0.98,0
192,3.0,0.5,5.0,12,0.99,0
192,3.0,0.5,5.0,16,0.95,0
192,3.0,0.5,5.0,16,0.96,0
192,3.0,0.5,5.0,16,0.97,0
192,3.0,0.5,5.0,16,0.98,0
192,3.0,0.5,5.0,16,0.99,0
192,3.0,0.5,5.0,20,0.95,0
192,3.0,0.5,5.0,20,0.96,0
192,3.0,0.5,5.0,20,0.97,0
192,3.0,0.5,5.0,20,0.98,0
192,3.0,0.5,5.0,20,0.99,0
192,3.0,0.5,5.0,24,0.95,0
192,3.0,0.5,5.0,24,0.96,0
192,3.0,0.5,5.0,24,0.97,0
192,3.0,0.5,5.0,24,0.98,0
192,3.0,0.5,5.0,24,0.99,0
192,3.0,0.5,5.0,28,0.95,0
192,3.0,0.5,5.0,28,0.96,0
192,3.0,0.5,5.0,28,0.97,0
192,3.0,0.5,5.0,28,0.98,0
192,3.0,0.5,5.0,28,0.99,0
192,3.0,0.5,5.0,32,0.95,0
192,3.0,0.5,5.0,32,0.96,0
192,3.0,0.5,5.0,32,0.97,0
192,3.0,0.5,5.0,32,0.98,0
193,3.0,0.5,5.0,32,0.99,0
501,3.0,0.5,6.0,8,0.95,0
501,3.0,0.5,6.0,8,0.96,0
500,3.0,0.5,6.0,8,0.97,0
500,3.0,0.5,6.0,8,0.98,0
500,3.0,0.5,6.0,8,0.99,0
499,3.0,0.5,6.0,12,0.95,0
500,3.0,0.5,6.0,12,0.96,0
501,3.0,0.5,6.0,12,0.97,0
500,3.0,0.5,6.0,12,0.98,0
501,3.0,0.5,6.0,12,0.99,0
500,3.0,0.5,6.0,16,0.95,0
504,3.0,0.5,6.0,16,0.96,0
500,3.0,0.5,6.0,16,0.97,0
501,3.0,0.5,6.0,16,0.98,0
509,3.0,0.5,6.0,16,0.99,0
505,3.0,0.5,6.0,20,0.95,0
222,3.0,0.5,6.0,20,0.96,0
221,3.0,0.5,6.0,20,0.97,0
219,3.0,0.5,6.0,20,0.98,0
218,3.0,0.5,6.0,20,0.99,0
223,3.0,0.5,6.0,24,0.95,0
219,3.0,0.5,6.0,24,0.96,0
217,3.0,0.5,6.0,24,0.97,0
219,3.0,0.5,6.0,24,0.98,0
217,3.0,0.5,6.0,24,0.99,0
221,3.0,0.5,6.0,28,0.95,0
220,3.0,0.5,6.0,28,0.96,0
219,3.0,0.5,6.0,28,0.97,0
217,3.0,0.5,6.0,28,0.98,0
198,3.0,0.5,6.0,28,0.99,0
221,3.0,0.5,6.0,32,0.95,0
219,3.0,0.5,6.0,32,0.96,0
198,3.0,0.5,6.0,32,0.97,0
198,3.0,0.5,6.0,32,0.98,0
192,3.0,0.5,6.0,32,0.99,0
198,3.0,0.5,7.0,8,0.95,0
198,3.0,0.5,7.0,8,0.96,0
198,3.0,0.5,7.0,8,0.97,0
198,3.0,0.5,7.0,8,0.98,0
198,3.0,0.5,7.0,8,0.99,0
478,3.0,0.5,7.0,12,0.95,0
479,3.0,0.5,7.0,12,0.96,0
478,3.0,0.5,7.0,12,0.97,0
478,3.0,0.5,7.0,12,0.98,0
477,3.0,0.5,7.0,12,0.99,0
473,3.0,0.5,7.0,16,0.95,0
475,3.0,0.5,7.0,16,0.96,0
475,3.0,0.5,7.0,16,0.97,0
475,3.0,0.5,7.0,16,0.98,0
476,3.0,0.5,7.0,16,0.99,0
472,3.0,0.5,7.0,20,0.95,0
470,3.0,0.5,7.0,20,0.96,0
473,3.0,0.5,7.0,20,0.97,0
475,3.0,0.5,7.0,20,0.98,0
474,3.0,0.5,7.0,20,0.99,0
470,3.0,0.5,7.0,24,0.95,0
475,3.0,0.5,7.0,24,0.96,0
473,3.0,0.5,7.0,24,0.97,0
481,3.0,0.5,7.0,24,0.98,0
481,3.0,0.5,7.0,24,0.99,0
469,3.0,0.5,7.0,28,0.95,0
474,3.0,0.5,7.0,28,0.96,0
226,3.0,0.5,7.0,28,0.97,0
224,3.0,0.5,7.0,28,0.98,0
221,3.0,0.5,7.0,28,0.99,0
474,3.0,0.5,7.0,32,0.95,0
474,3.0,0.5,7.0,32,0.96,0
223,3.0,0.5,7.0,32,0.97,0
222,3.0,0.5,7.0,32,0.98,0
199,3.0,0.5,7.0,32,0.99,0
523,4.0,0.5,5.0,8,0.95,0
523,4.0,0.5,5.0,8,0.96,0
523,4.0,0.5,5.0,8,0.97,0
524,4.0,0.5,5.0,8,0.98,0
524,4.0,0.5,5.0,8,0.99,0
192,4.0,0.5,5.0,12,0.95,0
192,4.0,0.5,5.0,12,0.96,0
192,4.0,0.5,5.0,12,0.97,0
192,4.0,0.5,5.0,12,0.98,0
192,4.0,0.5,5.0,12,0.99,0
192,4.0,0.5,5.0,16,0.95,0
192,4.0,0.5,5.0,16,0.96,0
192,4.0,0.5,5.0,16,0.97,0
192,4.0,0.5,5.0,16,0.98,0
192,4.0,0.5,5.0,16,0.99,0
192,4.0,0.5,5.0,20,0.95,0
192,4.0,0.5,5.0,20,0.96,0
192,4.0,0.5,5.0,20,0.97,0
192,4.0,0.5,5.0,20,0.98,0
192,4.0,0.5,5.0,20,0.99,0
192,4.0,0.5,5.0,24,0.95,0
192,4.0,0.5,5.0,24,0.96,0
192,4.0,0.5,5.0,24,0.97,0
192,4.0,0.5,5.0,24,0.98,0
192,4.0,0.5,5.0,24,0.99,0
192,4.0,0.5,5.0,28,0.95,0
192,4.0,0.5,5.0,28,0.96,0
192,4.0,0.5,5.0,28,0.97,0
192,4.0,0.5,5.0,28,0.98,0
192,4.0,0.5,5.0,28,0.99,0
192,4.0,0.5,5.0,32,0.95,0
