frame,side weight,sensitivity,threshold,buf size,gamma,goal
1630,9.0,2.0,5.0,20,0.97,1
1630,10.0,2.0,5.0,20,0.97,1
314,6.0,2.0,5.0,20,0.98,0
314,8.0,2.0,5.0,20,0.98,0
314,6.0,2.0,5.0,20,0.99,0
315,9.0,2.0,5.0,20,0.98,0
314,7.0,2.0,5.0,20,0.99,0
314,10.0,2.0,6.0,20,0.98,0
315,7.0,2.0,5.0,24,0.96,0
318,10.0,2.0,5.0,20,0.98,0
314,9.0,2.0,5.0,20,0.99,0
315,10.0,2.5,6.0,20,0.99,0
317,9.0,2.0,6.0,24,0.95,0
314,10.0,2.0,5.0,20,0.99,0
315,10.0,2.0,6.0,24,0.95,0
1645,8.0,1.5,7.0,24,0.98,1
912,10.0,2.0,6.0,32,0.95,0
1660,10.0,2.0,6.0,20,0.99,1
843,8.0,1.5,7.0,28,0.96,0
1620,9.0,2.0,6.0,32,0.95,1
1634,10.0,2.0,6.0,24,0.96,1
694,8.0,2.0,6.0,32,0.95,0
759,9.0,1.5,7.0,24,0.99,0
1660,9.0,2.0,6.0,20,0.99,1
629,8.0,1.5,7.0,24,0.99,0
629,7.0,1.5,7.0,24,0.99,0
1644,9.0,2.0,6.0,24,0.96,1
1624,8.0,2.0,5.0,32,0.95,1
932,10.0,1.5,7.0,24,0.99,0
1640,8.0,2.0,6.0,24,0.96,1
1644,6.0,1.5,7.0,24,0.98,1
315,8.0,1.5,6.0,28,0.95,0
843,7.0,1.5,7.0,28,0.97,0
213,6.0,1.5,7.0,24,0.99,0
315,9.0,1.5,6.0,28,0.95,0
1651,9.0,1.5,7.0,24,0.98,1
1652,10.0,1.5,7.0,24,0.98,1
317,6.0,2.0,6.0,24,0.97,0
1640,8.0,2.0,6.0,24,0.97,1
748,10.0,2.0,5.0,32,0.95,0
696,9.0,2.0,6.0,24,0.97,0
912,9.0,2.0,5.0,32,0.95,0
315,10.0,1.5,6.0,28,0.95,0
1637,10.0,1.5,7.0,32,0.96,1
349,8.0,2.0,7.0,28,0.97,0
840,6.0,1.5,7.0,32,0.96,0
764,7.0,2.0,6.0,28,0.97,0
696,10.0,2.0,6.0,24,0.97,0
1635,8.0,1.5,6.0,28,0.96,1
318,9.0,1.5,6.0,28,0.96,0
839,7.0,1.5,7.0,32,0.96,0
910,7.0,2.0,5.0,32,0.95,0
700,7.0,2.0,6.0,24,0.97,0
943,7.0,2.0,6.0,32,0.96,0
979,8.0,1.5,7.0,28,0.97,0
314,8.0,1.5,5.0,28,0.95,0
696,9.0,2.0,6.0,28,0.95,0
706,8.0,2.0,5.0,24,0.97,0
1645,9.0,2.0,7.0,20,0.99,1
849,9.0,2.0,6.0,32,0.96,0
693,6.0,2.0,6.0,28,0.95,0
1637,6.0,2.0,6.0,28,0.96,1
313,9.0,2.5,6.0,24,0.96,0
860,6.0,1.5,7.0,28,0.98,0
756,9.0,2.0,5.0,32,0.96,0
706,6.0,2.0,5.0,24,0.97,0
314,6.0,1.5,5.0,28,0.95,0
1629,8.0,2.0,6.0,28,0.95,1
917,10.0,2.0,5.0,28,0.96,0
712,8.0,2.0,6.0,32,0.96,0
762,8.0,1.5,6.0,28,0.98,0
707,9.0,2.0,5.0,24,0.97,0
314,7.0,1.5,5.0,28,0.95,0
699,8.0,2.0,5.0,32,0.96,0
760,6.0,2.0,5.0,32,0.96,0
1643,7.0,1.5,6.0,24,0.98,1
757,10.0,1.5,6.0,28,0.98,0
758,7.0,2.0,5.0,32,0.96,0
933,8.0,2.0,5.0,28,0.95,0
848,10.0,1.5,7.0,32,0.97,0
1631,9.0,2.0,6.0,28,0.96,1
692,8.0,2.0,6.0,28,0.96,0
762,10.0,2.0,5.0,32,0.96,0
931,10.0,2.0,5.0,28,0.95,0
764,9.0,1.5,6.0,28,0.98,0
750,7.0,2.0,6.0,28,0.96,0
854,9.0,2.0,5.0,28,0.97,0
693,10.0,2.0,6.0,28,0.96,0
933,7.0,2.0,5.0,28,0.95,0
932,9.0,2.0,5.0,28,0.95,0
1649,10.0,1.5,6.0,24,0.99,1
1635,7.0,2.0,6.0,28,0.95,1
334,9.0,2.0,6.0,28,0.97,0
848,9.0,1.5,7.0,32,0.97,0
1629,10.0,2.0,6.0,28,0.95,1
847,7.0,1.5,7.0,32,0.97,0
709,10.0,2.5,5.0,24,0.97,0
316,10.0,2.0,5.0,20,0.96,0
314,10.0,2.5,5.0,20,0.98,0
314,9.0,2.5,5.0,20,0.98,0
211,6.0,1.5,7.0,28,0.99,0
315,10.0,2.5,5.0,20,0.99,0
316,7.0,2.0,6.0,24,0.95,0
845,8.0,1.5,7.0,32,0.97,0
1658,7.0,2.0,6.0,20,0.99,1
210,7.0,1.5,7.0,28,0.99,0
706,10.0,2.0,5.0,24,0.97,0
952,10.0,2.0,6.0,24,0.99,0
691,10.0,2.5,6.0,20,0.98,0
1646,8.0,2.0,7.0,20,0.99,1
705,7.0,2.0,5.0,24,0.97,0
206,9.0,1.5,7.0,28,0.99,0
695,8.0,2.0,5.0,24,0.98,0
1635,6.0,2.0,6.0,24,0.96,1
206,8.0,1.5,7.0,28,0.99,0
706,9.0,2.5,5.0,20,0.99,0
1152,8.0,2.5,5.0,20,0.99,0
765,8.0,2.0,6.0,24,0.98,0
787,8.0,2.0,6.0,24,0.99,0
705,9.0,2.0,6.0,24,0.98,0
1001,9.0,2.5,5.0,24,0.98,0
780,10.0,2.5,5.0,24,0.98,0
315,10.0,2.5,7.0,20,0.99,0
768,6.0,2.0,5.0,24,0.99,0
741,10.0,2.0,7.0,24,0.98,0
781,10.0,2.0,7.0,32,0.97,0
714,6.0,2.5,6.0,32,0.96,0
342,8.0,2.5,6.0,32,0.96,0
758,6.0,1.5,7.0,32,0.98,0
760,9.0,1.5,7.0,32,0.98,0
724,6.0,1.0,7.0,32,0.96,0
1613,9.0,2.0,5.0,16,0.95,1
1054,8.0,2.0,5.0,16,0.95,0
836,7.0,2.0,5.0,12,0.97,0
314,9.0,3.0,5.0,16,0.98,0
689,10.0,3.0,5.0,16,0.99,0
1619,9.0,3.0,5.0,16,0.95,1
694,6.0,3.0,5.0,16,0.95,0
833,9.0,2.0,5.0,12,0.98,0
1055,10.0,2.0,5.0,16,0.95,0
1636,10.0,1.5,5.0,12,0.95,1
830,10.0,2.0,5.0,12,0.96,0
830,7.0,2.0,5.0,12,0.95,0
832,6.0,2.0,5.0,12,0.96,0
832,7.0,2.0,5.0,16,0.95,0
837,10.0,1.5,5.0,12,0.96,0
834,9.0,2.0,5.0,12,0.96,0
1612,6.0,2.0,5.0,16,0.95,1
1056,8.0,2.0,5.0,16,0.96,0
834,7.0,2.0,5.0,12,0.96,0
1620,6.0,2.5,5.0,16,0.97,1
837,9.0,1.5,5.0,12,0.96,0
1621,9.0,2.5,5.0,16,0.97,1
1624,8.0,2.5,5.0,16,0.97,1
1047,8.0,3.0,5.0,16,0.96,0
1615,6.0,2.5,5.0,16,0.95,1
1618,10.0,2.0,5.0,16,0.96,1
835,7.0,2.0,5.0,16,0.96,0
1610,8.0,2.5,6.0,12,0.98,1
